id,y_2017,y_2018,y_2019,y_2020
039,10.7,11.6,11.3,11.3
091,14.2,13.9,13.1,13.9
099,10.0,11.6,12.2,11.6
141,14.7,13.4,12.9,13.2
149,12.6,13.4,13.7,14.4
